               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/military_vehicle_mAP,metrics/aircraft_mAP, metrics/soldier_mAP,metrics/civilian_mAP,metrics/ordnance_mAP,metrics/military_vehicle_mAP_50,metrics/aircraft_mAP_50,metrics/soldier_mAP_50,metrics/civilian_mAP_50,metrics/ordnance_mAP_50
                  43,            0.041345,           0.0083821,           0.0035468,             0.48548,             0.36586,             0.42808,             0.17265,            0.057361,           0.0078412,           0.0085152,            0.005842,            0.005842,            0.005842,            0.083704,             0.22437,             0.20988,             0.17265,             0.17265,             0.17215,             0.59094,             0.52114,             0.42808,             0.42808
                  44,            0.040207,           0.0083221,           0.0030104,             0.69957,             0.27162,             0.36792,             0.14506,            0.059678,           0.0078235,           0.0068182,            0.005743,            0.005743,            0.005743,            0.061179,              0.3322,            0.041792,             0.14506,             0.14506,             0.15133,             0.72538,             0.22705,             0.36792,             0.36792
                  45,            0.041188,           0.0083508,           0.0030626,             0.43252,             0.46622,             0.42357,              0.1539,            0.060275,           0.0079925,           0.0069336,            0.005644,            0.005644,            0.005644,            0.071696,             0.22788,             0.16211,              0.1539,              0.1539,             0.19554,             0.60185,             0.47331,             0.42357,             0.42357
                  46,            0.040002,           0.0081122,           0.0032574,             0.64567,             0.33644,              0.3175,             0.13382,             0.05893,           0.0073784,           0.0099802,            0.005545,            0.005545,            0.005545,            0.082285,             0.31587,           0.0032943,             0.13382,             0.13382,             0.22588,             0.70908,             0.01753,              0.3175,              0.3175
                  47,            0.039924,           0.0078915,           0.0030565,             0.46571,             0.40666,             0.45965,             0.18705,            0.056085,            0.007449,           0.0062949,            0.005446,            0.005446,            0.005446,            0.077403,             0.30118,             0.18255,             0.18705,             0.18705,             0.20552,             0.66663,              0.5068,             0.45965,             0.45965
                  48,            0.039481,           0.0082024,           0.0030677,             0.43493,             0.42563,             0.46293,             0.20018,            0.055959,           0.0080889,           0.0062435,            0.005347,            0.005347,            0.005347,            0.082845,             0.33874,             0.17894,             0.20018,             0.20018,             0.21296,             0.77386,             0.40197,             0.46293,             0.46293
                  49,            0.038058,           0.0081628,           0.0027954,             0.46697,             0.57354,             0.53427,             0.22142,            0.052331,           0.0077175,           0.0069075,            0.005248,            0.005248,            0.005248,             0.10334,             0.38524,             0.17568,             0.22142,             0.22142,             0.27432,             0.80935,             0.51913,             0.53427,             0.53427
                  50,            0.037388,            0.007801,           0.0024755,             0.71046,             0.29733,              0.4013,             0.16201,            0.059512,           0.0074949,           0.0049264,            0.005149,            0.005149,            0.005149,            0.073683,             0.35487,            0.057483,             0.16201,             0.16201,             0.16867,             0.78913,              0.2461,              0.4013,              0.4013
                  51,            0.039758,           0.0080039,           0.0027761,             0.68056,             0.31622,             0.42037,             0.14708,            0.060195,            0.007572,           0.0061925,             0.00505,             0.00505,             0.00505,            0.081533,             0.26938,            0.090321,             0.14708,             0.14708,             0.21112,             0.72449,             0.32551,             0.42037,             0.42037
                  52,            0.039433,           0.0077759,           0.0025562,             0.34892,             0.52915,             0.43629,              0.1688,            0.059586,           0.0078265,           0.0078627,            0.004951,            0.004951,            0.004951,            0.055725,             0.21949,             0.23119,              0.1688,              0.1688,             0.16115,             0.57811,             0.56962,             0.43629,             0.43629
